,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
2250,296168,Avenida Assis Chateaubriand,0,SAO PAULO,,,"Avenida Assis Chateaubriand, 0, SAO PAULO","[-23.5627629802915, -46.65723088029149]"
2251,296488,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE,,,"RUA GEOVANE BATISTA PIRELI, 100, SANTO ANDRE","[-23.6657309802915, -46.4912789802915]"
2252,296530,AVENIDA ALDA,2156,DIADEMA,,,"AVENIDA ALDA, 2156, DIADEMA","[-23.7082053802915, -46.6278873802915]"
2253,296548,ALAMEDA SANTO AMARO,2060,SAO PAULO,,,"ALAMEDA SANTO AMARO, 2060, SAO PAULO","[-23.6618975802915, -46.7062042802915]"
2254,296597,RUA JOSE FELIX DE OLIVEIRA,1197,COTIA,,,"RUA JOSE FELIX DE OLIVEIRA, 1197, COTIA","[-23.5847025302915, -46.8404741802915]"
2255,296620,AVENIDA CARLOS BARBOSA SANTOS,314,SAO PAULO,,,"AVENIDA CARLOS BARBOSA SANTOS, 314, SAO PAULO","[-23.7612377802915, -46.66932008029149]"
2256,296754,RUA MANUEL RODRIGUES SANTIAGO,100,FERRAZ DE VASCONCELOS,,,"RUA MANUEL RODRIGUES SANTIAGO, 100, FERRAZ DE VASCONCELOS","[-23.5129795802915, -46.3802257802915]"
2257,297022,ACESSO AVENIDA SPORT CLUB CORINTIANS PAULISTA,1,OSASCO,,,"ACESSO AVENIDA SPORT CLUB CORINTIANS PAULISTA, 1, OSASCO","[-23.5554682, -46.7938116]"
2258,297157,RUA MANOEL ANTONIO GOMES,383,CAJAMAR,,,"RUA MANOEL ANTONIO GOMES, 383, CAJAMAR","[-23.3385706802915, -46.8400423302915]"
2259,297164,AVENIDA PAULISTA,0,SAO PAULO,,,"AVENIDA PAULISTA, 0, SAO PAULO","[-23.5718715802915, -46.6469669802915]"
2260,297221,AVENIDA SANTOS DUMONT,10,SAO PAULO,,,"AVENIDA SANTOS DUMONT, 10, SAO PAULO","[-23.52792448029151, -46.6323414802915]"
2261,297326,VIADUTO POMPEIA,100,SAO PAULO,,,"VIADUTO POMPEIA, 100, SAO PAULO","[-23.5246015802915, -46.68131408029149]"
2262,297592,Rodovia Ayrton Senna da Silva,0,GUARULHOS,,,"Rodovia Ayrton Senna da Silva, 0, GUARULHOS","[-23.4720101802915, -46.40058268029149]"
2263,297643,AVENIDA CONDE FRANCISCO MATARAZZO,0,SAO CAETANO DO SUL,,,"AVENIDA CONDE FRANCISCO MATARAZZO, 0, SAO CAETANO DO SUL","[-23.6083377802915, -46.5715494802915]"
2264,297677,AVENIDA ITAPARK,1200,MAUA,,,"AVENIDA ITAPARK, 1200, MAUA","[-23.6762086802915, -46.4491738802915]"
2265,297691,RUA PADRE JOAO MANUEL,974,SAO PAULO,,,"RUA PADRE JOAO MANUEL, 974, SAO PAULO","[-23.5667582802915, -46.6674277802915]"
2266,297717,AVENIDA DO CURSINO,4815,SAO PAULO,,,"AVENIDA DO CURSINO, 4815, SAO PAULO","[-23.6436121302915, -46.6140140802915]"
2267,297735,RUA RIBEIRAO PRETO,266,GUARULHOS,,,"RUA RIBEIRAO PRETO, 266, GUARULHOS","[-23.3987088802915, -46.44034308029149]"
2268,298171,ESTRADA DO CAMPO LIMPO,100,SAO PAULO,,,"ESTRADA DO CAMPO LIMPO, 100, SAO PAULO","[-23.6498323802915, -46.7560004802915]"
2269,298228,RUA JOAO DO ESPIRITO SANTO,138,SAO PAULO,,,"RUA JOAO DO ESPIRITO SANTO, 138, SAO PAULO","[-23.6579061802915, -46.7338365802915]"
2270,298243,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,6600,DIADEMA,,,"AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 6600, DIADEMA","[-23.6719802802915, -46.63425238029149]"
