,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
160,4012,Avenida Engenheiro Billings,385,SAO PAULO,"Avenida Engenheiro Billings, 385, SAO PAULO","[-23.55924808029151, -46.71546968029151]"
161,4013,ESTRADA DO PONEI CLUB,53104,SAO BERNARDO DO CAMPO,"ESTRADA DO PONEI CLUB, 53104, SAO BERNARDO DO CAMPO","[-23.7630131, -46.6150375]"
162,4020,ACESSO AVENIDA PROFESSOR FRANCISCO MORATO,5171,SAO PAULO,"ACESSO AVENIDA PROFESSOR FRANCISCO MORATO, 5171, SAO PAULO","[-23.6022000802915, -46.74388828029151]"
163,4065,AVENIDA EDE,57,SAO PAULO,"AVENIDA EDE, 57, SAO PAULO","[-23.4995312802915, -46.59636048029149]"
164,4066,AVENIDA SAO LUIS,100,SAO PAULO,"AVENIDA SAO LUIS, 100, SAO PAULO","[-23.5473459802915, -46.64469218029149]"
165,4125,RUA TALES DOS SANTOS FREIRE,434,SAO BERNARDO DO CAMPO,"RUA TALES DOS SANTOS FREIRE, 434, SAO BERNARDO DO CAMPO","[-23.6905189802915, -46.54758898029149]"
166,4158,AVENIDA OTAVIO BRAGA DE MESQUITA,1819,GUARULHOS,"AVENIDA OTAVIO BRAGA DE MESQUITA, 1819, GUARULHOS","[-23.4504896302915, -46.5100281802915]"
167,4160,RUA ZEZE MACEDO,660,SAO PAULO,"RUA ZEZE MACEDO, 660, SAO PAULO","[-23.5163640802915, -46.37749678029149]"
168,4195,AVENIDA DEPUTADO CANTIDIO SAMPAIO,1611,SAO PAULO,"AVENIDA DEPUTADO CANTIDIO SAMPAIO, 1611, SAO PAULO","[-23.46566808029151, -46.6815717802915]"
169,4197,AVENIDA FRANCISCO MARENGO,2174,SUZANO,"AVENIDA FRANCISCO MARENGO, 2174, SUZANO","[-23.5028115802915, -46.2988411802915]"
170,4199,ESTRADA SANTA ISABEL,3440,ITAQUAQUECETUBA,"ESTRADA SANTA ISABEL, 3440, ITAQUAQUECETUBA","[-23.4643511802915, -46.33268023029149]"
171,4231,AVENIDA MARGINAL CSU,100,CARAPICUIBA,"AVENIDA MARGINAL CSU, 100, CARAPICUIBA","[-23.5336879802915, -46.8496982802915]"
172,4232,AVENIDA ERNESTO SOUZA CRUZ,807,SAO PAULO,"AVENIDA ERNESTO SOUZA CRUZ, 807, SAO PAULO","[-23.5279013802915, -46.4658700802915]"
