,Logradouro,Numero/KM,Município,Longitude,Latitude
186,AVENIDA GENERAL BARRETO DE MENEZES,470,SAO BERNARDO DO CAMPO,,
248,PRESIDENTE PRESIDENTE CASTELLO BRANCO KM 17 LESTE,,OSASCO,,
294,PONTE DO LIMAO,100,SAO PAULO,,
389,ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI,100,GUARULHOS,,
1256,AVENIDA BRIGADEIRO LUIS ANTONIO,4778,SAO PAULO,,
1266,AVENIDA DO IMPERADOR,5317,SAO PAULO,,
1578,PRESIDENTE DUTRA BR 116,220,GUARULHOS,,
1748,RUA JAMIL JOAO ZARIFE,100,GUARULHOS,,
1835,SP 015,150,SAO PAULO,,
1871,SP 150,,SAO PAULO,,
2690,AVENIDA BRIGADEIRO LUIS ANTONIO,4737,SAO PAULO,,
2916,AVENIDA JOSE PINHEIRO BORGES,100,SAO PAULO,,
3057,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,2849,SANTO ANDRE,,
3110,AVENIDA SILVESTRE PIRES DE FREITAS,145,GUARULHOS,,
3245,AVENIDA DOS OURIVES,220,SAO PAULO,,
3270,AVENIDA CARLOS CALDEIRA FILHO,1,SAO PAULO,,
3341,AVENIDA GUARAPIRANGA,3440,SAO PAULO,,
4233,VIADUTO MINISTRO ALIOMAR BALEEIRO,1,SAO PAULO,,
4251,AVENIDA SENADOR TEOTONIO VILELA,2200,SAO PAULO,,
4365,ACESSO A  RAPOSO TAVARES,35,COTIA,,
4466,AVENIDA LAURO GOMES,100,SANTO ANDRE,,
4849,AVENIDA CANGAIBA,959,SAO PAULO,,
4975,AVENIDA DOS ESTADOS,11041,SANTO ANDRE,,
4981,IMIGRANTES,100,SAO PAULO,,
5585,ACESSO AVENIDA RADIAL LESTE OESTE,100,SAO PAULO,,
5624,AVENIDA DAS NACOES,2275,SANTO ANDRE,,
5902,ESTRADA GALVAO BUENO,9041,SAO BERNARDO DO CAMPO,,
6034,ESTRADA GALVAO BUENO,9172,SAO BERNARDO DO CAMPO,,
6766,ACESSO AVENIDA GOVERNADOR CARVALHO PINTO,100,SAO PAULO,,
6861,AVENIDA GETULIO VARGAS,100,OSASCO,,
7225,AVENIDA ALZIRO ZARUR,100,SAO PAULO,,
7362,ACESSO ALBERTO BYINGTON,1000,SAO PAULO,,
7396,VIADUTO PRESIDENTE DOUTOR TANCREDO DE ALMEIDA NEVE,10,OSASCO,,
7822,SP 015,150,SAO PAULO,,
8013,RUA ACASSIO ANTONIO BATISTA,100,GUARULHOS,,
8317,AVENIDA NOVE DE JULHO,399,SAO PAULO,,
8421,SP 031,200,RIBEIRAO PIRES,,
8862,RUA ATLANTICA,4300,SAO PAULO,,
8934,AVENIDA DOS BANDEIRANTES,4119,SAO PAULO,,
8996,AVENIDA BRIGADEIRO LUIS ANTONIO,4521,SAO PAULO,,
9073,PONTE ARICANDUVA,1,SAO PAULO,,
9339,AVENIDA CANGAIBA,1063,SAO PAULO,,
9379,AVENIDA ARICANDUVA,,SAO PAULO,,
9533,RUA SADAMU INOUE,1400,SAO PAULO,,
9757,RUA JEQUIRITUBA,2556,SAO PAULO,,
9859,IMIGRANTES,16,DIADEMA,,
