,Logradouro,Numero/KM,Município
31,AVENIDA GENERAL BARRETO DE MENEZES,470,SAO BERNARDO DO CAMPO
38,PRESIDENTE PRESIDENTE CASTELLO BRANCO KM 17 LESTE,,OSASCO
45,PONTE DO LIMAO,100,SAO PAULO
51,ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI,100,GUARULHOS
192,AVENIDA BRIGADEIRO LUIS ANTONIO,4778,SAO PAULO
194,AVENIDA DO IMPERADOR,5317,SAO PAULO
222,PRESIDENTE DUTRA BR 116,220,GUARULHOS
272,RUA JAMIL JOAO ZARIFE,100,GUARULHOS
278,SP 015,150,SAO PAULO
283,SP 150,,SAO PAULO
413,AVENIDA BRIGADEIRO LUIS ANTONIO,4737,SAO PAULO
431,AVENIDA JOSE PINHEIRO BORGES,100,SAO PAULO
470,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,2849,SANTO ANDRE
474,AVENIDA SILVESTRE PIRES DE FREITAS,145,GUARULHOS
485,AVENIDA DOS OURIVES,220,SAO PAULO
489,AVENIDA CARLOS CALDEIRA FILHO,1,SAO PAULO
497,AVENIDA GUARAPIRANGA,3440,SAO PAULO
599,VIADUTO MINISTRO ALIOMAR BALEEIRO,1,SAO PAULO
601,AVENIDA SENADOR TEOTONIO VILELA,2200,SAO PAULO
610,ACESSO A  RAPOSO TAVARES,35,COTIA
620,AVENIDA LAURO GOMES,100,SANTO ANDRE
700,AVENIDA CANGAIBA,959,SAO PAULO
707,AVENIDA DOS ESTADOS,11041,SANTO ANDRE
709,IMIGRANTES,100,SAO PAULO
810,ACESSO AVENIDA RADIAL LESTE OESTE,100,SAO PAULO
814,AVENIDA DAS NACOES,2275,SANTO ANDRE
857,ESTRADA GALVAO BUENO,9041,SAO BERNARDO DO CAMPO
871,ESTRADA GALVAO BUENO,9172,SAO BERNARDO DO CAMPO
986,ACESSO AVENIDA GOVERNADOR CARVALHO PINTO,100,SAO PAULO
994,AVENIDA GETULIO VARGAS,100,OSASCO
1044,AVENIDA ALZIRO ZARUR,100,SAO PAULO
1056,ACESSO ALBERTO BYINGTON,1000,SAO PAULO
1060,VIADUTO PRESIDENTE DOUTOR TANCREDO DE ALMEIDA NEVE,10,OSASCO
1130,SP 015,150,SAO PAULO
1143,RUA ACASSIO ANTONIO BATISTA,100,GUARULHOS
1202,AVENIDA NOVE DE JULHO,399,SAO PAULO
1205,SP 031,200,RIBEIRAO PIRES
1283,RUA ATLANTICA,4300,SAO PAULO
1292,AVENIDA DOS BANDEIRANTES,4119,SAO PAULO
1295,AVENIDA BRIGADEIRO LUIS ANTONIO,4521,SAO PAULO
1307,PONTE ARICANDUVA,1,SAO PAULO
1381,AVENIDA CANGAIBA,1063,SAO PAULO
1385,AVENIDA ARICANDUVA,,SAO PAULO
1401,RUA SADAMU INOUE,1400,SAO PAULO
1456,RUA JEQUIRITUBA,2556,SAO PAULO
1461,IMIGRANTES,16,DIADEMA
1471,ACESSO AVENIDA JACUPESSEGO,5550,SAO PAULO
1510,RUA GALATEA,1200,SAO PAULO
1611,RETORNO  HENRIQUE EROLES,1,ITAQUAQUECETUBA
1629,RUA ACASSIO ANTONIO BATISTA,763,GUARULHOS
1630,AVENIDA JAGUARE,100,SAO PAULO
1696,AVENIDA EMANCIPACAO,97,ITAQUAQUECETUBA
1710,RUA PREFEITO CIDO FRANCO,1083,RIO GRANDE DA SERRA
1718,AVENIDA SILVESTRE PIRES DE FREITAS,100,GUARULHOS
1724,IMIGRANTES,1,SAO PAULO
1794,AVENIDA ARICANDUVA,10000,SAO PAULO
1795,ACESSO AVENIDA JACUPESSEGO,809,SAO PAULO
1802,AVENIDA GETULIO VARGAS,100,OSASCO
1805,AVENIDA ENGENHEIRO CAETANO ALVARES,3924,SAO PAULO
1811,AVENIDA TIRADENTES,100,SAO PAULO
1813,SP 015,500,SAO PAULO
1868,AVENIDA LUIZ GUSHIKEN,165,SAO PAULO
1880,SP 230,278,TABOAO DA SERRA
1887,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO
1889,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO
1939,ALAMEDA RIO NEGRO,162,BARUERI
1946,AVENIDA MORUMBI,5500,SAO PAULO
1948,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO
2015,AVENIDA PEREIRA BARRETO,2200,SANTO ANDRE
2017,AVENIDA DOS ESTADOS,10981,SANTO ANDRE
2070,AVENIDA DOS BANDEIRANTES,4167,SAO PAULO
2129,AVENIDA EDSON DANILO DOTTO,25,SANTO ANDRE
2143,SP 228,4000,SAO PAULO
2149,RUA ACASSIO ANTONIO BATISTA,529,GUARULHOS
2220,VIADUTO DO GLICERIO,100,SAO PAULO
2221,AVENIDA BRIGADEIRO LUIS ANTONIO,1401,SAO PAULO
2222,ESTRADA GUARULHOSNAZARE,2916,GUARULHOS
2223,AVENIDA TIRADENTES,1537,SAO PAULO
2288,AVENIDA SALIM FARAH MALUF,100,SAO PAULO
2373,AVENIDA DOS BANDEIRANTES,4825,SAO PAULO
2396,AVENIDA ARICANDUVA,100,SAO PAULO
2449,AVENIDA WASHINGTON LUIS,100,SAO PAULO
2464,VIADUTO ENGENHEIRO ALBERTO BADRA,1,SAO PAULO
2468,AVENIDA MORUMBI,5600,SAO PAULO
2470,VIADUTO ANTONIO ADIBE CHAMAS,100,SANTO ANDRE
2473,PREISIDENTE DUTRA,,GUARULHOS
2516,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,2279,DIADEMA
2552,IMIGRANTES,15,DIADEMA
2553,AVENIDA CARLOS CALDEIRA FILHO,4126,SAO PAULO
2559,SP 230,272,TABOAO DA SERRA
2566,AVENIDA SILVESTRE PIRES DE FREITAS,100,GUARULHOS
2570,VIADUTO DO GLICERIO,10,SAO PAULO
2571,RENE BENEDITO SILVA KM 46 OESTE,,ITAPEVI
