Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location,Numero_ori,Logradouro_ori,index1,Index_Bala
2824,RUA CONCEICAO BORREIRO PERES,0.0,CAIEIRAS,,,"RUA CONCEICAO BORREIRO PERES, 0, CAIEIRAS","[-23.3423100802915, -46.7458478802915]",nan,RUA CONCEICAO BORREIRO PERES,71,71RUA CONCEICAO BORREIRO PERESnanCAIEIRAS
2908,ESTRADA JOSE MARQUES RIBEIRO,0.0,CAJAMAR,,,"ESTRADA JOSE MARQUES RIBEIRO, 0, CAJAMAR","[-23.3947827802915, -46.8665227802915]",nan,ESTRADA JOSE MARQUES RIBEIRO,81,81ESTRADA JOSE MARQUES RIBEIROnanCAJAMAR
0,AVENIDA GENERAL BARRETO DE MENEZES,470.0,SAO BERNARDO DO CAMPO,,,"AVENIDA GENERAL BARRETO DE MENEZES, 470, SAO BERNARDO DO CAMPO","[-23.73791738029151, -46.5363510802915]",470,AVENIDA GENERAL BARRETO DE MENEZES,186,186AVENIDA GENERAL BARRETO DE MENEZES470SAO BERNARDO DO CAMPO
2825,Avenida Trindade,0.0,BARUERI,,,"Avenida Trindade, 0, BARUERI","[-23.5074552802915, -46.8687358802915]",nan,VIADUTO JOAQUIM ANTUNES DA SILVA,226,226VIADUTO JOAQUIM ANTUNES DA SILVAnanBARUERI
2826,RUA MARCO ANTONIO CALEGARI,0.0,BARUERI,,,"RUA MARCO ANTONIO CALEGARI, 0, BARUERI","[-23.5274237, -46.8640458]",nan,RUA MARCO ANTONIO CALEGARI,227,227RUA MARCO ANTONIO CALEGARInanBARUERI
1,PRESIDENTE PRESIDENTE CASTELLO BRANCO KM 17 LESTE,0.0,OSASCO,,,"PRESIDENTE PRESIDENTE CASTELLO BRANCO KM 17 LESTE, 0, OSASCO","[-23.5247918, -46.82184400000001]",nan,PRESIDENTE PRESIDENTE CASTELLO BRANCO KM 17 LESTE,248,248PRESIDENTE PRESIDENTE CASTELLO BRANCO KM 17 LESTEnanOSASCO
2,PONTE DO LIMAO,100.0,SAO PAULO,,,"PONTE DO LIMAO, 100, SAO PAULO","[-23.51709368029151, -46.6681318802915]",100,PONTE DO LIMAO,294,294PONTE DO LIMAO100SAO PAULO
3,ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI,100.0,GUARULHOS,,,"ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI, 100, GUARULHOS","[-23.4736300802915, -46.42469018029149]",nan,SP 015,389,389SP 015nanGUARULHOS
2827,Avenida Morvan Dias de Figueiredo,0.0,SAO PAULO,,,"Avenida Morvan Dias de Figueiredo, 0, SAO PAULO","[-23.5267139802915, -46.5778302802915]",100,ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI,389,389ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI100SAO PAULO
2828,AVENIDA NATALIA ZARIF,0.0,GUARULHOS,,,"AVENIDA NATALIA ZARIF, 0, GUARULHOS","[-23.4382374802915, -46.4974011802915]",nan,AVENIDA NATALIA ZARIF,417,417AVENIDA NATALIA ZARIFnanGUARULHOS
2829,AVENIDA MARCO ANTONIO CALEGARI,0.0,BARUERI,,,"AVENIDA MARCO ANTONIO CALEGARI, 0, BARUERI","[-23.5274237, -46.8640458]",nan,AVENIDA MARCO ANTONIO CALEGARI,539,539AVENIDA MARCO ANTONIO CALEGARInanBARUERI
2830,AVENIDA DOUTOR DIB SAUAIA NETO,0.0,BARUERI,,,"AVENIDA DOUTOR DIB SAUAIA NETO, 0, BARUERI","[-23.4819396802915, -46.8778999802915]",nan,AVENIDA DOUTOR DIB SAUAIA NETO,613,613AVENIDA DOUTOR DIB SAUAIA NETOnanBARUERI
2831,RUA CASTELO DE LECA,0.0,SAO PAULO,,,"RUA CASTELO DE LECA, 0, SAO PAULO","[-23.5512265, -46.4050742]",nan,RUA CASTELO DE LECA,1004,1004RUA CASTELO DE LECAnanSAO PAULO
