,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
1033,2018-02-16,"-23,72028","-46,549458","('Overcast', None)",5
1034,2018-02-16,"-23,837208","-46,805204","('Overcast', None)",19
1035,2018-02-15,"-23,605518","-46,660885","('Overcast', None)",23
1036,2018-02-14,"-23,522624","-46,888748","('Overcast', None)",4
1037,2018-02-13,"-23,585121","-46,68287","('Overcast', None)",2
1038,2018-02-13,"-23,7093024826073","-46,6551095359504","('Overcast', None)",19
1039,2018-02-13,"-23,765587","-46,717093","('Overcast', None)",1
1040,2018-02-11,"-23,521112","-46,444","('Clear', None)",3
1041,2018-02-11,"-23,94005634032585","-47,045525784837636","('Partially cloudy', None)",19
1042,2018-02-10,"-23,566609898735898","-46,70280750926353","('Clear', None)",23
1043,2018-02-10,"-23,59501908150084","-46,6922925091223","('Clear', None)",5
1044,2018-02-10,"-23,59618823387234","-46,865939140871795","('Overcast', None)",17
1045,2018-02-09,"-23,534336","-46,545525","('Partially cloudy', None)",18
1046,2018-02-08,"-23,621385","-46,794729","('Clear', None)",20
1047,2018-02-07,"-23,524055","-46,806417","('Partially cloudy', None)",14
1048,2018-02-06,"-23,687163","-47,020929","('Overcast', None)",0
1049,2018-02-05,"-23,691436","-46,761439","('Overcast', None)",3
1050,2018-02-05,"-23,695651","-46,517682","('Partially cloudy', None)",7
1051,2018-02-05,"-23,536162","-46,221056","('Partially cloudy', None)",7
1052,2018-02-05,"-23,49863658597603","-46,7286993285403","('Overcast', None)",16
1053,2018-02-03,"-23,765524","-46,717073","('Overcast', None)",7
1054,2018-02-03,"-23,598478","-46,46806","('Partially cloudy', None)",22
1055,2018-02-02,"-23,608464","-46,692133","('Partially cloudy', None)",21
1056,2018-02-02,"-23,545949","-46,563542","('Partially cloudy', None)",7
1057,2018-02-02,"-23,3994094579044","-46,3917856436873","('Partially cloudy', None)",9
1058,2018-01-30,"-23,613054","-46,610551","('Partially cloudy', None)",21
1059,2018-01-30,"-23,598269","-46,533909","('Overcast', None)",6
1060,2018-01-29,"-23,671999","-46,577437","('Rain, Overcast', 0.87)",22
1061,2018-01-28,"-23,655098","-46,788029","('Overcast', None)",5
1062,2018-01-28,"-23,58418","-46,491511","('Overcast', None)",6
1063,2018-01-28,"-23,62926","-46,589468","('Partially cloudy', None)",20
1064,2018-01-28,"-23,710631","-46,574388","('Partially cloudy', None)",17
1065,2018-01-28,"-23,58208401205611","-46,92090438018766","('Partially cloudy', None)",21
1066,2018-01-26,"-23,649193","-46,663155","('Overcast', None)",23
1067,2018-01-25,"-23,628639","-46,474346","('Partially cloudy', None)",8
1068,2018-01-25,"-23,449762","-46,40768","('Clear', None)",1
1069,2018-01-23,"-23,524495","-46,631252","('Partially cloudy', None)",17
1070,2018-01-22,"-23,5868650620134","-46,5983788143775","('Clear', None)",5
1071,2018-01-22,"-23,464334","-46,43697","('Clear', None)",6
1072,2018-01-21,"-23,667752","-46,784178","('Partially cloudy', None)",6
1073,2018-01-21,"-23,608642","-46,726078","('Partially cloudy', None)",14
