,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
1976,2016-05-26,"-23,508412","-46,594656","('Overcast', None)",6
1977,2016-05-26,"-23,533563","-46,83644","('Overcast', None)",22
1978,2016-05-25,"-23,564061","-46,601372","('Overcast', None)",2
1979,2016-05-24,"-23,472337","-46,58793","('Partially cloudy', None)",23
1980,2016-05-24,"-23,6688589511","-46,4612957152","('Partially cloudy', None)",12
1981,2016-05-22,"-23,505403","-46,474374","('Partially cloudy', None)",4
1982,2016-05-22,"-23,748846","-46,708994","('Partially cloudy', None)",20
1983,2016-05-22,"-23,656125","-46,560452","('Partially cloudy', None)",19
1984,2016-05-22,"-23,6790594764","-46,3535190251","('Partially cloudy', None)",4
1985,2016-05-21,"-23,574742","-46,610437","('Partially cloudy', None)",0
1986,2016-05-21,"-23,4260713371","-46,4110454662","('Clear', None)",4
1987,2016-05-19,"-23,6443491379","-46,8394811128","('Overcast', None)",10
1988,2016-05-19,"-23,490327992","-46,766760349","('Partially cloudy', None)",22
1989,2016-05-16,"-23,476550369","-46,322476808","('Partially cloudy', None)",18
1990,2016-05-15,"-23,634835","-46,689317","('Overcast', None)",0
1991,2016-05-15,"-23,6375499992","-46,8321121254","('Clear', None)",19
1992,2016-05-15,"-23,5679461053","-46,7818562604","('Overcast', None)",3
1993,2016-05-15,"-23,383206","-46,861579","('Clear', None)",19
1994,2016-05-14,"-23,392194408","-46,168854428","('Partially cloudy', None)",11
1995,2016-05-13,"-23,648549","-46,749164","('Partially cloudy', None)",23
1996,2016-05-13,"-23,51617","-46,731341","('Partially cloudy', None)",23
1997,2016-05-13,"-23,4549206664","-46,4728457141","('Partially cloudy', None)",5
1998,2016-05-10,"-23,620932784","-46,678490666","('Partially cloudy', None)",5
1999,2016-05-10,"-23,522092","-46,517329","('Partially cloudy', None)",7
2000,2016-05-08,"-23,659096","-46,635638","('Partially cloudy', None)",7
2001,2016-05-08,"-23,64805987950253","-46,38336656541824","('Partially cloudy', None)",9
2002,2016-05-08,"-23,489505","-46,280899","('Partially cloudy', None)",8
2003,2016-05-08,"-23,5432948554","-46,2583190626","('Partially cloudy', None)",2
2004,2016-05-07,"-23,5011897025","-46,4312700231","('Clear', None)",2
2005,2016-05-07,"-23,5348496","-46,453306778","('Clear', None)",6
2006,2016-05-05,"-23,7036581509","-46,5057293251","('Partially cloudy', None)",17
2007,2016-05-05,"-23,441878668","-46,83320716","('Partially cloudy', None)",18
2008,2016-05-04,"-23,4754163257","-46,6383691766","('Clear', None)",5
2009,2016-05-04,"-23,520619","-46,83303","('Clear', None)",2
2010,2016-05-03,"-23,440995","-46,717318","('Partially cloudy', None)",1
2011,2016-05-03,"-23,466664","-46,52198","('Clear', None)",15
2012,2016-05-03,"-23,507417","-46,870424","('Partially cloudy', None)",8
2013,2016-05-02,"-23,719782687","-46,606458314","('Clear', None)",16
2014,2016-05-02,"-23,7402237836","-46,5996559141","('Partially cloudy', None)",22
2015,2016-05-01,"-23,4103187082","-46,3464538722","('Clear', None)",19
2016,2016-05-01,"-23,4873278698","-46,7909173382","('Partially cloudy', None)",0
