,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora,API_url
3165,2017-02-25,"-23,7155329902238","-46,6047964895392","('Partially cloudy', 0.0)",21,Já temos
3166,2017-02-22,"-23,4685802842179","-46,5162943297634","('Clear', None)",5,Já temos
3167,2017-02-18,"-23,6812682017343","-46,7857953741249","('Clear', None)",22,Já temos
3168,2017-02-18,"-23,4600388220494","-46,5224954406543","('Clear', None)",21,Já temos
3169,2017-02-17,"-23,656452","-46,49911","('Partially cloudy', None)",21,Já temos
3170,2017-02-15,"-23,526915","-46,835253","('Partially cloudy', None)",12,Já temos
3171,2017-02-14,"-23,677774049117","-46,6829804995726","('Clear', None)",23,Já temos
3172,2017-02-13,"-23,4211197127408","-46,5429430710378","('Clear', None)",6,Já temos
3173,2017-02-12,"-23,606451132545","-46,5937069058997","('Clear', None)",22,Já temos
3174,2017-02-10,"-23,612032","-46,463733","('Partially cloudy', None)",11,Já temos
3175,2017-02-10,"-23,5325090246363","-46,7846543964545","('Partially cloudy', None)",8,Já temos
3176,2017-02-08,"-23,53896","-46,227729","('Partially cloudy', None)",20,Já temos
3177,2017-02-04,"-23,522934","-46,854328","('Clear', None)",21,Já temos
3178,2017-01-27,"-23,665492","-46,530857","('Partially cloudy', None)",20,Já temos
3179,2017-01-20,"-23,711062876","-46,483665288","('Partially cloudy', None)",1,Já temos
3180,2017-01-01,"-23,651375","-46,790841","('Clear', None)",1,Já temos
3181,2016-12-30,"-23,70121785","-46,576910714","('Partially cloudy', None)",7,Já temos
3182,2016-12-06,"-23,785619","-46,531855","('Clear', None)",15,Já temos
3183,2016-09-09,"-23,54862636773465","-46,93737088274822","('Partially cloudy', None)",22,Já temos
3184,2016-08-10,"-23,741331886773786","-46,443156876870184","('Overcast', None)",18,Já temos
3185,2016-07-20,"-23,64515212808559","-46,11911018436476","('Partially cloudy', None)",13,Já temos
3186,2016-02-11,"-23,505499","-46,776925","('Partially cloudy', None)",8,Já temos
3187,2016-02-09,"-23,732681","-46,697118","('Clear', None)",10,Já temos
3188,2015-12-03,"-23,542285","-46,923902","('Overcast', None)",22,Já temos
3189,2015-11-02,"-23,615003","-46,724251","('Partially cloudy', None)",21,Já temos
3190,2015-10-17,"-23,480182","-46,352196","('Partially cloudy', None)",14,Já temos
3191,2015-04-30,"-23,71673","-46,584466","('Overcast', None)",16,Já temos
3192,2015-04-15,"-23,681834","-46,637405","('Overcast', None)",18,Já temos
3193,2015-04-12,"-23,691114","-46,449643","('Partially cloudy', None)",21,Já temos
3194,2015-03-12,"-23,526556","-46,63134","('Partially cloudy', None)",18,Já temos
3195,2015-02-18,"-23,404111592317488","-46,57599535696205","('Overcast', None)",11,Já temos
3196,2015-01-15,"-23,632392","-46,472206","('Partially cloudy', None)",14,Já temos
3197,2014-12-28,"-23,555237","-46,849214","('Clear', None)",14,Já temos
3198,2014-11-05,"-23,644498","-46,538558","('Overcast', None)",15,Já temos
3199,2012-06-15,"-23,647306","-46,778984","('Partially cloudy', None)",22,Já temos
