,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
1115,2017-12-23,"-23,809483","-46,714644","('Partially cloudy', None)",18
1116,2017-12-23,"-23,506553","-46,403258","('Clear', None)",1
1117,2017-12-23,"-23,427183","-46,565559","('Partially cloudy', None)",19
1118,2017-12-22,"-23,569791","-46,688455","('Partially cloudy', None)",5
1119,2017-12-22,"-23,670625","-46,614109","('Clear', None)",20
1120,2017-12-22,"-23,413602","-46,449584","('Clear', None)",18
1121,2017-12-22,"-23,5951698592713","-46,8397995983352","('Partially cloudy', None)",3
1122,2017-12-21,"-23,54068","-46,628191","('Partially cloudy', None)",6
1123,2017-12-21,"-23,4721667375119","-46,5193525961654","('Clear', None)",2
1124,2017-12-20,"-23,7121784142471","-46,5615540965177","('Partially cloudy', None)",4
1125,2017-12-19,"-23,695004","-46,552735","('Partially cloudy', None)",15
1126,2017-12-18,"-23,5170942517438","-46,8407201074545","('Partially cloudy', None)",18
1127,2017-12-18,"-23,603566","-46,69590424","('Partially cloudy', None)",0
1128,2017-12-17,"-23,613809","-46,519267","('Partially cloudy', None)",23
1129,2017-12-17,"-23,687955","-46,470096","('Clear', None)",11
1130,2017-12-17,"-23,7033222111518","-46,5614963498387","('Clear', None)",4
1131,2017-12-17,"-23,629036","-46,785155","('Clear', None)",3
1132,2017-12-16,"-23,430153","-46,502422","('Clear', None)",18
1133,2017-12-16,"-23,45993","-46,463515","('Clear', None)",18
1134,2017-12-15,"-23,582857","-46,702533","('Clear', None)",0
1135,2017-12-15,"-23,525893","-46,439655","('Partially cloudy', None)",15
1136,2017-12-15,"-23,5173599172762","-46,9323099505811","('Clear', None)",23
1137,2017-12-14,"-23,526318","-46,625617","('Partially cloudy', None)",12
1138,2017-12-13,"-23,703421","-46,701077","('Partially cloudy', None)",13
1139,2017-12-11,"-23,689168","-46,50675","('Partially cloudy', None)",13
1140,2017-12-10,"-23,5898966607367","-46,6910276415876","('Partially cloudy', None)",6
1141,2017-12-10,"-23,739911","-46,702974","('Partially cloudy', None)",17
1142,2017-12-10,"-23,4622548499107","-46,4913876537872","('Partially cloudy', None)",23
1143,2017-12-10,"-23,419454","-46,354981","('Overcast', None)",5
1144,2017-12-10,"-23,4118899222043","-46,3553381940357","('Partially cloudy', None)",18
1145,2017-12-10,"-23,688794","-46,311581","('Partially cloudy', None)",16
1146,2017-12-10,"-23,532775","-46,209109","('Partially cloudy', None)",23
1147,2017-12-09,"-23,676492","-46,734338","('Partially cloudy', None)",5
1148,2017-12-09,"-23,4913","-46,666532","('Partially cloudy', None)",22
1149,2017-12-08,"-23,648711","-46,688398","('Partially cloudy', None)",0
1150,2017-12-07,"-23,5198605733528","-46,6283311904078","('Rain, Partially cloudy', 0.04)",22
1151,2017-12-07,"-23,485646","-46,475673","('Partially cloudy', None)",12
1152,2017-12-06,"-23,549356","-46,738271","('Partially cloudy', None)",22
1153,2017-12-06,"-23,602769","-46,470583","('Partially cloudy', None)",21
1154,2017-12-05,"-23,466893","-46,689624","('Partially cloudy', None)",19
1155,2017-12-04,"-23,616169","-46,506617","('Partially cloudy', None)",3
