,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
2427,2015-09-08,"-23,653347","-46,721142","('Overcast', None)",6
2428,2015-09-06,"-23,66365","-46,691297","('Clear', None)",23
2429,2015-09-06,"-23,666098","-46,732852","('Partially cloudy', None)",13
2430,2015-09-05,"-23,5095012505","-46,8181609415","('Partially cloudy', None)",10
2431,2015-09-05,"-23,565232","-46,802716","('Partially cloudy', None)",13
2432,2015-09-05,"-23,338819","-46,825099","('Overcast', None)",2
2433,2015-09-04,"-23,610568","-46,617751","('Overcast', None)",23
2434,2015-09-04,"-23,454168196","-46,490361283","('Partially cloudy', None)",12
2435,2015-09-03,"-23,466202699","-46,5714446293","('Clear', None)",13
2436,2015-09-03,"-23,532951","-46,205659","('Clear', None)",12
2437,2015-09-02,"-23,541627867","-46,233624146","('Overcast', None)",18
2438,2015-09-01,"-23,669131","-46,686791","('Clear', None)",8
2439,2015-08-31,"-23,453472","-46,518354","('Clear', None)",18
2440,2015-08-30,"-23,697574","-46,767205","('Clear', None)",22
2441,2015-08-30,"-23,416051","-46,459466","('Clear', None)",3
2442,2015-08-29,"-23,6141058866","-46,7829108287","('Partially cloudy', None)",5
2443,2015-08-27,"-23,499909","-46,599216","('Overcast', None)",8
2444,2015-08-27,"-23,576077","-46,395908","('Clear', None)",17
2445,2015-08-25,"-23,507714","-46,702111","('Overcast', None)",17
2446,2015-08-25,"-23,584339","-46,408352","('Partially cloudy', None)",22
2447,2015-08-24,"-23,50713","-46,65187","('Partially cloudy', None)",7
2448,2015-08-23,"-23,68214","-46,649722","('Clear', None)",6
2449,2015-08-23,"-23,7571886","-46,6865568","('Clear', None)",0
2450,2015-08-23,"-23,433444","-46,537451","('Partially cloudy', None)",5
2451,2015-08-23,"-23,552057956","-46,311183262","('Clear', None)",21
2452,2015-08-22,"-23,58474","-46,76124","('Overcast', None)",20
2453,2015-08-22,"-23,537029","-46,7881","('Overcast', None)",0
2454,2015-08-22,"-23,6723268697","-46,8560750636","('Partially cloudy', None)",18
2455,2015-08-21,"-23,4721667375","-46,5193525962","('Partially cloudy', None)",16
2456,2015-08-20,"-23,7192816397","-46,550939036","('Overcast', None)",23
2457,2015-08-16,"-23,464473","-46,664554","('Clear', None)",6
2458,2015-08-16,"-23,611976","-46,720612","('Clear', None)",5
2459,2015-08-16,"-23,599726","-46,715976","('Clear', None)",20
2460,2015-08-15,"-23,46894457","-46,778873205","('Clear', None)",0
2461,2015-08-15,"-23,528938282","-46,552798604","('Clear', None)",19
2462,2015-08-15,"-23,664081273","-46,467307207","('Clear', None)",22
2463,2015-08-13,"-23,6701670585","-46,5329328702","('Clear', None)",12
2464,2015-08-12,"-23,509585289","-46,193933137","('Clear', None)",9
2465,2015-08-12,"-23,504014","-46,769558","('Clear', None)",19
2466,2015-08-11,"-23,6321143587","-46,7963745141","('Clear', None)",18
2467,2015-08-10,"-23,4576861402","-46,571258847","('Clear', None)",19
